OBJECTID,TRAIL_ID,TRAIL_NAME,TRAIL_CLSS,SURF_MAT,ENGINEERED,WIDTH,FENCED,WHEEL_ACC,CONDITION,INST_YEAR,INST_DATE,LIGHT,OWNER,MAINT,STATUS,COMMENTS,ADDDATE,MODDATE,SOURCE,SACC,FCODE,CODE,WALKING,HIKING,BIKING,ATV,SNOWMOBILE,SEASON,COLLECTED,UPDATED,TCT,RAIL,NATURE,ET_SOURCE,SECT_NAME,ASSOCN,DATASOURCE,OFFICIAL,NAME_APP,PLOW,GLOBALID,LEN,SHAPE_Length
104535,974,GLENBOURNE PARK TRAIL , CONNECTOR,CRDS,N,1.4,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,sides overgrown,,,,,,,,,,,N,,,,N,N,N,SPORTS FIELD & OFF LEASH,,,TPW_TRAILS,,,,{22E456F1-75EF-4221-9027-B50E74123DED},68.2424823860037,0.00056493829899899
104536,1488,SCOTCH PINE TERR  TO MAINLAND LINEAR TRAIL ,WALKWAY,ASPH,N,1.8,Y,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,NEIGHBOURHOOD,,,TPW_TRAILS,,,,{EB3F768F-9CC5-4CB8-9D66-313262EA4166},60.2657723382081,0.00053977475326231
104537,1184,UNKNOWN NAME,TERIARY,GRAV,N,0.5,Y,,POOR,0,,N,HRM,HRM,DECOMISSIONED,leads to former bridge-mowed-part fenced,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{91D997AD-334B-4D59-B0FA-6394262F14D3},152.328247424951,0.00131475333228817
104538,703,UNKNOWN NAME,,,N,,N,,GOOD,2014,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{A2E9D8DB-DED7-4DEE-A817-B64302D98B54},279.595571472048,0.00207535527649386
104539,1890,UNKNOWN NAME, ,NATU,N,1.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,rough sections / exposed rock,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{4E782775-DCCF-4FC8-9964-7D1CC95BEA32},849.861457761411,0.00692302911157253
104540,1894,UNKNOWN NAME, ,CRDS,N,1.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,"s/o in sections,informal access 2 linear",,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{CE26C547-FA66-430E-98B4-AC5728D70D0F},416.080202177992,0.00339125457892239
104541,1889,UNKNOWN NAME, ,ASPH,N,1.4,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C93F65A5-4F7F-4F02-AB1D-B3FACFB3EA40},196.65039821926,0.00135264963284746
104542,1383,UNKNOWN NAME, ,GRAV,N,5,N,,GOOD,0,,N,HRM,HRM,ACTIVE,access rd,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{E47D221D-F3F2-44BD-871A-228C2693327D},213.457014071068,0.00178486456270365
104543,700,UNKNOWN NAME,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{FEF0072F-0A07-4B1B-8E49-7C51E3A5B1B7},35.308004285341,0.000263600739501717
104544,3480,MCINTOSH RUN COMMUNITY TRAIL,,,,0,,,,,,,,,, ,,,,,RRRDTR,EXNS, , , , , , ,2009/06/10 00:00:00+00,2009/12/01 00:00:00+00,N,N,Y, ,, ,TRAILS_APR11,,,,{6DAF68EB-E185-4324-951E-2157DF323823},2555.24955056594,0.0205822251073349
104545,701,UNKNOWN NAME,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{FF184212-0202-4FFC-84DF-F6DF10C86AB6},861.950333619383,0.00647479096334569
104546,1896,UNKNOWN NAME, ,CRDS,N,1.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,s/o,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{47239522-B6C7-4206-A59D-2C8CBD4E919C},140.173366518442,0.00105804264571441
104547,1046,UNKNOWN NAME, ,CONC,Y,7,N,,GOOD,0,,N, ,UN,ACTIVE,width varies-pier/wharf,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{3D8156E0-83FD-4A3A-B362-A7075CB16842},130.47812899016,0.000866421046267192
104548,1045,UNKNOWN NAME, ,CONC, ,7,Y,,GOOD,0,,Y, ,UN,ACTIVE,pavers-chain rail-post2post,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2DB1AF8B-8EF0-4DF7-89A4-83526A26A73D},35.2600369020547,0.000234316187792146
104549,2874,COLE HARBOUR HERITAGE PARK TRAILS,,,,,,,,,,,,,,,,,,,RRRDTR,HRT,,,,,,,,,,,,HRM,,Cole Harbour Parks & Trails Association,TRAIL_VERIFD,,,,{2665241E-893C-466B-98DB-4B6CACCE0114},11.3794068086351,7.35017600370515e-05
104550,1047,UNKNOWN NAME, ,CONC,Y,12.2,N,,GOOD,0,,N, ,UN,ACTIVE,pier/wharf,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C6C1C2CD-98C4-47B7-8132-C24B61175FAE},101.053589279664,0.000671910389916917
104551,5019,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{BDC1783C-E6B2-4D48-8E07-D86C8866C792},213.780742750259,0.00183062223601833
104552,5021,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{24D3582C-ACEF-4C3B-AD2A-F8985B815DC9},816.898709673267,0.00658406525409694
104553,697,UNKNOWN NAME,,CRDS,N,1.8,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{54A2BD90-7D49-41EF-B1CE-76328E014485},93.3864438306673,0.00065224183408531
104554,698,UNKNOWN NAME,,CRDS,N,1.8,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{AE36E5EE-199A-4FE3-8930-FA2029902248},179.779150301111,0.0014691973352989
104555,1910,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,ASPH, ,2,N,,GOOD,0,,N,HRM,HRM,ACTIVE,minor heaves/cracking thru/out,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,{C6810942-61AD-4355-9FCB-9B064B1C87A7},77.4406756811166,0.000669414846106124
104556,1746,UNKNOWN NAME, ,GRAV,N,1.3,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,"access fr parking lot,minor exposed root",,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{04020AE6-8FD9-47EC-B6F6-D00AF1677DB3},51.2103935391627,0.000333120323995178
104557,1747,UNKNOWN NAME, ,ASPH,N,2.1,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{FF74EE99-7219-4EA9-BA4D-997E81A8A270},5.30112738020465,4.3658619258714e-05
104558,1748,UNKNOWN NAME, ,ASPH,N,2.2,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{FBD0A150-C26F-42B0-8061-1428192992BD},103.09630240278,0.000747776314017622
104559,1905,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,ASPH, ,2,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,{FBD4D7E8-6F51-45B3-9C59-2CFA5E44F605},25.7257882980946,0.000223462470851027
104560,1906,CRICHTON PARK SCHOOL WALKWAYS,SECONDARY,CONC, ,1.2,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,4 cracked slabs 1 heaved,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{7D05C64D-8BD6-417C-B96E-15DC7193CF9D},31.3515515660014,0.000261001998737966
104561,1907,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,ASPH, ,2,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,{82A1C890-3739-4AC1-B346-25DB1491A806},15.6500105539718,0.000125121461770271
104562,1908,CRICHTON PARK ELEMENTARY SCHOOL PARK WALKWAY,SECONDARY,ASPH, ,2,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,2 areas broken asphalt- minor heaves,,,,,,,,,,,,,,,,,,,,CRICHTON PARK SCHOOL,TPW_TRAILS,,,,{82B336FA-ABAB-46AE-887E-678440289F3A},15.335720909554,0.000105273928735009
104563,1386,UNKNOWN NAME,PRIMARY,CRDS,N,2.5,N,,GOOD,0,,N,HRM,HRM,ACTIVE,width varies,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C813ECED-8683-4DFE-BA8E-14D45CF5640B},222.512164352637,0.0015822297078251
104564,1388,UNKNOWN NAME,SECONDARY,CRDS,N,1.5,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2A71CA68-D4A6-4D10-BCC4-33721BEC8A7F},99.2207656489328,0.000732754138535821
104565,1377,UNKNOWN NAME,PRIMARY,ASPH,N,1.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,some recent repairs,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{49B5B437-6459-4322-B96F-30C57C10C7E4},126.587883007427,0.000883211782159907
104566,1389,UNKNOWN NAME,TERIARY,CRDS,N,1,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{B363988A-22CB-4DF1-B647-AD6614A2EFF9},50.7895805931272,0.000354430619142955
104567,1390,UNKNOWN NAME,PRIMARY,ASPH,N,2,Y,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2B50E8A1-479E-439D-8B56-824885009C8D},188.525335897519,0.00146881813169448
104568,2071,UNKNOWN NAME, ,CRDS,N,1.5,N,,GOOD,0,,N,HRM,HRM,ACTIVE,width varies-path around playstructures,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{325A2D94-E603-44D6-BFBF-10B0C79C77AA},142.505262403472,0.0011150452058221
104569,2072,UNKNOWN NAME, ,OTHR, ,1,N,,GOOD,0,,N,HRM,HRM,ACTIVE,concrete pavers to moose statue,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{94456230-5D95-4D7C-9B80-0DFF1670846A},45.3207000923248,0.000317963948014076
104570,704,UNKNOWN NAME,,,N,,N,,GOOD,2014,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{98BC133B-25E1-433E-8658-1CB3AAA67FB5},188.510771698846,0.00165918041720739
104571,705,UNKNOWN NAME,,,N,,N,,GOOD,2014,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{25666D98-A1FD-4540-9D28-0CB472E5A4E5},233.771279699772,0.00182263748001477
104572,706,UNKNOWN NAME,,,N,,N,,GOOD,2014,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{9AB55735-3612-490C-8304-05F106928C8F},333.070242114161,0.002559711686195
104573,707,UNKNOWN NAME,,,N,,N,,GOOD,2014,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{9EDB920A-1A66-4ED1-A1A8-892947B05E17},308.37092297359,0.002308396670827
104574,1634,SHUBIE CANAL GREENWAY,AT_GW - P,Wood, ,2.1,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{DDBD10E9-B69B-48EA-A7D6-38B6E07B6111},272.447165666967,0.00206586891297444
104575,1633,UNKNOWN NAME,PRIMARY,WOOD, ,2.1,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{0345716B-BEDB-45A0-8C42-D6CDEA7355C6},285.722368437614,0.00211776761355781
104576,1713,UNKNOWN NAME,PRIMARY,CRDS,N,3,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{018863B7-A23E-465A-A20A-7B0FBF1AA36F},77.4219340713807,0.000559977235834397
104577,1714,UNKNOWN NAME,TERIARY,GRAV, ,2,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,minor weeds - undefined width-deadends,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{097E9DC1-E6E7-4238-B108-A12935BEE395},31.2781003028454,0.000201257787093678
104578,1648,SHUBIE CANAL GREENWAY,AT_GW - S,ASPH, ,1.5,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{44347A6E-C9CB-439C-803D-6E0709AE02F3},35.8046462862865,0.000319890541917148
104579,987,UNKNOWN NAME, ,ASPH,N,1.9,Y,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{804372AD-B6BE-4CD4-BCE3-0EBF155BD301},125.414369234444,0.000865508526804776
104580,875,UNKNOWN NAME,SECONDARY,ASPH,N,1.8,Y,,GOOD,0,,N,HRM,HRM,ACTIVE,trail leads to undeveloped area,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{6DD0DC9A-A03B-4E27-82C2-00A7CDBEF942},243.643974979751,0.00167523966801393
104581,3109,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{2F6E8FB7-4B6B-4FAB-BE39-78103CE564B8},337.98095439637,0.00275137653378792
104582,708,FRESHWATER TRAIL PARK WALKWAY,SECONDARY,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,FRESHWATER PARK,TPW_TRAILS,,,,{291A219A-BA77-42A4-B336-B86D9B46CD66},172.216325965099,0.00141361533160369
104583,871,FRESHWATER TRAIL PARK WALKWAY,SECONDARY,CRDS,N,2.2,N,,GOOD,2007,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{4608C8B8-1141-4E8A-8EC2-452B6DEF6B1D},91.7735828689425,0.000768064026170701
104584,886,UNKNOWN NAME,SECONDARY,OTHR,N,1,N,,GOOD,0,,N,HRM,HRM,ACTIVE,wood chips,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{7CB997C2-5670-4CAD-A5B6-4EB80058AE61},294.417130641718,0.00217371742014696
104585,709,UNKNOWN NAME,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{838593B5-6955-4C14-A55B-572238F8B9F8},383.51878298207,0.00308318734513255
104586,4059,UNKNOWN NAME,,GRAV,,,N,,GOOD,2012,,N,HRM,HRM,ACTIVE,,2012/11/02 00:00:00+00,,,,RRRDTR,,N,N,,,,,,,,,,,,,,,,,{630993AF-B59C-4BE7-925B-288DB5BC2CBE},142.148102105974,0.00102198027238236
104587,710,UNKNOWN NAME,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{572485A8-4FFB-4545-9F86-ED1461B87778},397.610407451784,0.0029530699184151
104588,784,AFRICVILLE PARK,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{5EB6F25A-8E63-4DA6-B5CF-3DFF65CD1D5A},204.169706400908,0.00155672896903771
104589,694,UNKNOWN NAME,,CRDS,N,,N,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{118A72ED-4B89-4387-8595-13F3083E98AC},80.4144330148912,0.000651601019279496
104590,1168,UNKNOWN NAME,SECONDARY,ASPH,N,1.8,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,some areas of heaving,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2ABB77D7-E129-4F31-8FD9-0E07542EDD99},52.2908539927946,0.000399842119860611
104591,785,FLAG POND PARK TRAIL,,,Y,,Y,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{5A34F1BF-0D88-47A3-84BC-A19BB2B838C6},214.985236788188,0.00156999620147479
104592,786,FLAG POND PARK TRAIL,,,N,,Y,,GOOD,,,N,HRM,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,{4F4FAE2C-1CD0-4EEE-8989-00CB56878390},85.2038732972517,0.000725472376708652
104593,2932,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{C853CD8A-16D2-4697-94D7-D4698E921D59},158.494457725136,0.00123145723600142
104594,2785,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{D8BBE41F-6C3A-4979-B72C-B4DABEF2C2A9},204.211848592904,0.00155761007370526
104595,2942,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{87D25B63-D525-46EA-82B7-DD2ECE597B2C},88.966717962703,0.000796115182476445
104596,2920,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{06483BB3-8499-47B4-B0A5-F5A092C3DF9F},584.441305393708,0.00502890106150571
104597,2983,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{A3D76205-71A2-466C-ACD3-D844DCA06210},321.801063339747,0.00267705052922767
104598,2742,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{24DE2C6F-9CF2-4EBD-9361-A30044655430},142.352025634018,0.0010350870029419
104599,3111,UNKNOWN NAME,,,,,,,,,,,,,,,,,,,RRRDTR,,,,,,,,,,,,,,,,TRN_TRAIL,,,,{B21EC4BB-C607-4F7B-AEBF-37E4FAD54233},240.168049187881,0.00186577669714129
104600,2104,UNKNOWN NAME,TERIARY,ASPH,N,3,N,,POOR,0,,N,HRM,HRM,OTHER,access rd to hosp.treat plant,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{81EF909B-8773-439C-B980-707CD37609A4},35.2281393505996,0.000226779102465637
104601,2084,UNKNOWN NAME, ,ASPH, ,1.6,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{B56DEAF4-DEA8-4DD8-AA09-EB66593BA81F},137.522867109776,0.000982862674287628
104602,2085,UNKNOWN NAME,TERIARY,CRDS, ,1.4,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE,unddfined-areas overgrn w/weed-,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{99A5BB7E-0586-4955-AFFF-4E6500637C13},27.8356910993772,0.000226915299541702
104603,5020,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{A153BDBB-8C4B-4BF9-BBE6-0EE9E4C62A9B},158.189698934951,0.00111923171193234
104604,5018,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{40CF8AA4-F9FB-4B55-BF38-109AE9495C79},102.957937520532,0.000757395022699689
104605,1778,UNKNOWN NAME,SECONDARY,ASPH, ,1.4,N,,GOOD,0,,Y,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{9C348E0D-1743-4CF0-B4BC-AD4E7936AD5F},17.6059523272807,0.000132089969654745
104606,1779,UNKNOWN NAME,SECONDARY,OTHR, ,1.7,N,,GOOD,0,,Y,HRM,HRM,ACTIVE,brick- minor heaves,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{7C366DEE-ADC6-4A75-896A-E2D5BDA0C132},121.576515408383,0.00102306790152966
104607,1400,UNKNOWN NAME, ,GRAV,N,4,N,,GOOD,0,,N,HRM,HRM,ACTIVE,access rd,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2BE025FC-9118-4263-A077-29A2D1A228D6},184.456142903641,0.00132066338119858
104608,2096,UNKNOWN NAME, ,ASPH, ,1.7,N,,GOOD,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{7C801018-34AD-4D3F-BA98-1149CEB2D593},19.2377529292438,0.000133946901052142
104609,1798,UNKNOWN NAME,PRIMARY,GRAV,N,2,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{046B3AA9-3954-4CBA-8E55-7FDA7CC4C622},28.7962913723081,0.00024617032264746
104610,1799,UNKNOWN NAME,PRIMARY,ASPH,N,2,N,,GOOD,0,,N,HRM,HRM,ACTIVE,varies 1.5 to 2m,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{BB81826D-032D-479E-ADA0-B772EADF4019},158.55754945301,0.00117384161927858
104611,1800,UNKNOWN NAME,PRIMARY,ASPH,N,1.5,Y,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C2B2E9C7-2630-458F-B0CF-D75AF0AA01C3},55.6649008224946,0.000424170672430842
104612,1801,UNKNOWN NAME,PRIMARY,NATU,N,0.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{C31F74F7-AA81-47FA-8823-C92764E7A21C},51.6391203772005,0.000351087865232252
104613,1802,UNKNOWN NAME,PRIMARY,NATU,N,1.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{6ABF9C13-314E-4885-8AD5-1B7FF3A1A829},43.9190557534653,0.000343788370910627
104614,1804,UNKNOWN NAME,SECONDARY,NATU,N,0.5,N,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{A1689AA0-5B51-4663-8A60-563700605E72},128.123587091672,0.00111517032328395
104615,1806,UNKNOWN NAME,PRIMARY,NATU,N,1,N,,GOOD,0,,N,HRM,HRM,ACTIVE,through field,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{859B0E7B-EE0E-4DFA-8F5F-4A3E7A1B8185},121.780249415656,0.000908720749289427
104616,1808,UNKNOWN NAME,PRIMARY,GRAV,N,1,Y,,MARGINAL,0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{2C3F46B7-C1BE-4CB1-AD5E-29F6D9453974},67.4466866606326,0.000557128050211953
